File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Projected.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
POEM2021_T001_L008_2022.09.01_093215_026_IAC.png,Full,37,15,26.662412,0.56259,1.896275,0.07569,0.067568,0.257112,53.960172,0.150531,6.377474,0.202,26.662412,2.030013,6.377474,0.150531
POEM2021_T001_L008_2022.10.12_091726_027_IAC.png,Full,34,48,41.916085,1.145145,4.569439,0.118035,0.097447,0.362606,80.942617,0.623207,15.894433,0.329,41.916085,5.056127,15.894433,0.623207
POEM2021_T001_L008_2022.11.08_111024_028_IAC.png,Full,26,32,36.4221,0.878587,3.54538,0.104007,0.095555,0.22973,70.820919,0.385129,12.1344,0.216,36.4221,3.861596,12.1344,0.385129
POEM2021_T001_L008_2023.02.15_100126_029_IAC.png,Full,25,11,23.01707,0.477906,1.578159,0.070181,0.067568,0.189671,47.989526,0.100279,5.137988,0.261,23.01707,1.634888,5.137988,0.100279
POEM2021_T001_L008_2023.03.29_101723_030_ABC.png,Full,60,59,73.415135,0.803649,6.800539,0.098106,0.097447,0.262385,147.328748,0.633343,22.780007,0.352,73.415135,7.251101,22.780007,0.633343
POEM2021_T001_L008_2023.04.21_090607_031_IAC.png,Full,75,57,82.53649,0.690604,6.935811,0.089248,0.090651,0.243243,166.61708,0.580198,23.228195,0.361,82.53649,7.392792,23.228195,0.580198
POEM2021_T001_L008_2023.05.25_085949_032_IAC.png,Full,73,34,72.4601,0.469224,5.75557,0.08437,0.081081,0.251366,146.614918,0.459292,19.248382,0.404,72.4601,6.125464,19.248382,0.459292
POEM2021_T001_L008_2023.06.19_091929_033_IAC.png,Full,39,17,31.035414,0.547761,1.944302,0.066867,0.067568,0.157593,63.629403,0.124197,6.512211,0.296,31.035414,2.072901,6.512211,0.124197
POEM2021_T001_L010_2022.09.01_093251_026_IAC.png,Full,259,497,477.366571,1.041129,43.256665,0.105733,0.085467,0.513514,884.09428,5.529399,157.839525,0.621,477.366571,50.237513,157.839525,5.529399
POEM2021_T001_L010_2022.10.12_091746_027_IAC.png,Full,271,553,489.215063,1.130382,46.467175,0.110977,0.090651,0.449819,894.346533,6.118819,169.956187,0.541,489.215063,54.094225,169.956187,6.118819
POEM2021_T001_L010_2022.11.08_111036_028_IAC.png,Full,311,594,494.691864,1.200747,47.258492,0.112133,0.094595,0.453257,900.114778,6.280612,173.635711,0.567,494.691864,55.266728,173.635711,6.280612
POEM2021_T001_L010_2023.02.15_100136_029_IAC.png,Full,261,396,377.110089,1.050091,33.892348,0.103076,0.090651,0.405405,706.07719,3.927188,121.76572,0.507,377.110089,38.756969,121.76572,3.927188
POEM2021_T001_L010_2023.03.29_101737_030_ABC.png,Full,290,405,397.695563,1.018367,34.883035,0.100098,0.086529,0.381503,750.486908,3.941855,124.769022,0.527,397.695563,39.711978,124.769022,3.941855
POEM2021_T001_L010_2023.04.21_090617_031_IAC.png,Full,266,424,396.724792,1.068751,38.89874,0.120382,0.09838,1.265517,726.398767,6.915325,149.096682,0.538,396.724792,47.457201,149.096682,6.915325
POEM2021_T001_L010_2023.05.25_090000_032_IAC.png,Full,321,446,420.266582,1.061231,38.713888,0.107138,0.094595,0.514579,788.083207,4.842361,140.976542,0.548,420.266582,44.87086,140.976542,4.842361
POEM2021_T001_L010_2023.06.19_091939_033_IAC.png,Full,194,185,228.647016,0.809107,18.085007,0.089464,0.081081,0.374741,440.526984,1.740859,64.05123,0.482,228.647016,20.38697,64.05123,1.740859
POEM2021_T001_L012_2022.09.01_093301_026_IAC.png,Full,210,228,281.252586,0.810659,27.101671,0.109168,0.085467,0.468317,536.043919,3.628044,96.164042,0.468,281.252586,30.609965,96.164042,3.628044
POEM2021_T001_L012_2022.10.12_091800_027_IAC.png,Full,213,225,251.5016,0.894627,23.338477,0.104694,0.085467,0.371068,482.974196,2.800888,82.325167,0.463,251.5016,26.20414,82.325167,2.800888
POEM2021_T001_L012_2022.11.08_111045_028_IAC.png,Full,206,242,247.215745,0.978902,24.082405,0.110189,0.090651,0.48234,469.562884,3.158233,85.48596,0.47,247.215745,27.210639,85.48596,3.158233
POEM2021_T001_L012_2023.02.15_100145_029_IAC.png,Full,163,199,240.144106,0.828669,27.511961,0.138005,0.108108,1.013063,452.157534,5.563541,103.293883,0.432,240.144106,32.87771,103.293883,5.563541
POEM2021_T001_L012_2023.03.29_101748_030_ABC.png,Full,186,281,290.464568,0.967416,35.833546,0.147123,0.120869,0.878378,536.070563,7.149091,133.368648,0.575,290.464568,42.451587,133.368648,7.149091
POEM2021_T001_L012_2023.04.21_090626_031_IAC.png,Full,202,427,331.142755,1.289474,43.436587,0.15943,0.135135,0.659399,592.977851,8.7807,165.221012,0.552,331.142755,52.586186,165.221012,8.7807
POEM2021_T001_L012_2023.05.25_090013_032_IAC.png,Full,240,384,347.229052,1.105898,40.456857,0.137593,0.11546,0.653697,640.448294,6.843324,149.138944,0.583,347.229052,47.471816,149.138944,6.843324
POEM2021_T001_L012_2023.06.19_091950_033_IAC.png,Full,207,270,279.167424,0.967162,24.403123,0.099557,0.090651,0.392823,529.639844,2.645329,86.947942,0.553,279.167424,27.67639,86.947942,2.645329
POEM2021_T001_L014_2022.09.01_093309_026_IAC.png,Full,244,392,384.671433,1.019051,32.692202,0.097162,0.081081,0.375715,725.222871,3.568951,116.981641,0.607,384.671433,37.233504,116.981641,3.568951
POEM2021_T001_L014_2022.10.12_091811_027_IAC.png,Full,236,295,318.074024,0.927457,25.519951,0.089904,0.078797,0.391892,612.059055,2.466902,89.650749,0.558,318.074024,28.533416,89.650749,2.466902
POEM2021_T001_L014_2022.11.08_111055_028_IAC.png,Full,230,259,297.838536,0.869599,23.724799,0.088553,0.076444,0.365864,579.103472,2.283051,82.669789,0.519,297.838536,26.312477,82.669789,2.283051
POEM2021_T001_L014_2023.02.15_100154_029_IAC.png,Full,250,227,283.192669,0.801574,22.588294,0.08787,0.081081,0.302171,552.940578,2.053277,78.008788,0.504,283.192669,24.826953,78.008788,2.053277
POEM2021_T001_L014_2023.03.29_101759_030_ABC.png,Full,248,245,308.693379,0.793668,24.864408,0.089557,0.081081,0.351351,600.147553,2.329632,86.632855,0.537,308.693379,27.569692,86.632855,2.329632
POEM2021_T001_L014_2023.04.21_090636_031_IAC.png,Full,240,322,333.204386,0.966374,31.292138,0.106617,0.094595,0.487237,633.292859,3.777354,111.369246,0.568,333.204386,35.447798,111.369246,3.777354
POEM2021_T001_L014_2023.05.25_090029_032_IAC.png,Full,263,435,360.87579,1.205401,37.025794,0.119284,0.09838,0.573489,671.763084,5.5274,135.363613,0.653,360.87579,43.083164,135.363613,5.5274
POEM2021_T001_L014_2023.06.19_092000_033_IAC.png,Full,184,168,226.260778,0.742506,18.199918,0.088965,0.078797,0.359825,441.105064,1.774305,63.169229,0.465,226.260778,20.107003,63.169229,1.774305
POEM2021_T001_L016_2022.09.01_093318_026_IAC.png,Full,25,19,46.476723,0.408807,3.381757,0.081603,0.076444,0.386968,92.639918,0.299596,11.849164,0.367,46.476723,3.770931,11.849164,0.299596
POEM2021_T001_L016_2022.10.12_091822_027_IAC.png,Full,31,23,50.582725,0.454701,3.578068,0.076856,0.072772,0.28217,101.417852,0.261261,12.187419,0.315,50.582725,3.879376,12.187419,0.261261
POEM2021_T001_L016_2022.11.08_111105_028_IAC.png,Full,26,15,47.469685,0.315991,3.458181,0.081955,0.068906,0.410997,94.553356,0.312805,12.172459,0.28,47.469685,3.873839,12.172459,0.312805
POEM2021_T001_L016_2023.02.15_100206_029_IAC.png,Full,31,29,44.392315,0.653266,3.069805,0.076637,0.068906,0.262385,87.451826,0.234013,10.651584,0.246,44.392315,3.390117,10.651584,0.234013
POEM2021_T001_L016_2023.03.29_101809_030_ABC.png,Full,33,15,44.438884,0.337542,3.078981,0.073796,0.067568,0.290147,90.484848,0.219879,10.329033,0.283,44.438884,3.287059,10.329033,0.219879
POEM2021_T001_L016_2023.04.21_090645_031_IAC.png,Full,33,17,43.160616,0.393878,3.206401,0.081669,0.072772,0.286346,86.022411,0.270055,11.10361,0.312,43.160616,3.534389,11.10361,0.270055
POEM2021_T001_L016_2023.05.25_090039_032_IAC.png,Full,75,61,73.356922,0.831551,6.143992,0.095612,0.081081,0.337838,145.903266,0.6578,22.080396,0.4,73.356922,7.028408,22.080396,0.6578
POEM2021_T001_L016_2023.06.19_092010_033_IAC.png,Full,88,66,96.242349,0.685769,9.022599,0.102391,0.090651,0.322348,191.781481,0.997754,31.02459,0.427,96.242349,9.873945,31.02459,0.997754
POEM2021_T001_L018_2022.09.01_093327_026_IAC.png,Full,37,19,48.427425,0.39234,3.342221,0.073132,0.072772,0.199525,97.216833,0.233021,11.17844,0.303,48.427425,3.557236,11.17844,0.233021
POEM2021_T001_L018_2022.10.12_091832_027_IAC.png,Full,52,58,72.011815,0.805423,6.343362,0.096476,0.072772,0.378378,142.385635,0.800692,21.648397,0.389,72.011815,6.890899,21.648397,0.800692
POEM2021_T001_L018_2022.11.08_111115_028_IAC.png,Full,61,30,67.001669,0.44775,5.220919,0.084185,0.072772,0.345323,133.991697,0.467447,17.700877,0.388,67.001669,5.634364,17.700877,0.467447
POEM2021_T001_L018_2023.02.15_100215_029_IAC.png,Full,53,29,52.295384,0.554542,4.139107,0.08462,0.067568,0.304879,105.236933,0.392865,13.834113,0.358,52.295384,4.401204,13.834113,0.392865
POEM2021_T001_L018_2023.03.29_101820_030_ABC.png,Full,58,48,53.844718,0.891452,5.045243,0.103698,0.085467,0.344528,105.819838,0.592537,17.393571,0.308,53.844718,5.536158,17.393571,0.592537
POEM2021_T001_L018_2023.04.21_090654_031_IAC.png,Full,74,80,88.625927,0.90267,9.80305,0.122651,0.108108,0.380544,172.737304,1.328567,34.170944,0.404,88.625927,10.87578,34.170944,1.328567
POEM2021_T001_L018_2023.05.25_090048_032_IAC.png,Full,105,141,145.832033,0.966866,18.200055,0.144712,0.120869,0.567568,272.549664,3.247184,66.331613,0.424,145.832033,21.113423,66.331613,3.247184
POEM2021_T001_L018_2023.06.19_092021_033_IAC.png,Full,102,122,127.314689,0.958255,11.718818,0.102444,0.090651,0.340262,246.333479,1.285151,40.81811,0.451,127.314689,12.991836,40.81811,1.285151
POEM2021_T001_L020_2022.09.01_093336_026_IAC.png,Full,81,39,108.478241,0.359519,7.028488,0.06962,0.067568,0.183804,216.986672,0.453327,23.631107,0.496,108.478241,7.522015,23.631107,0.453327
POEM2021_T001_L020_2022.10.12_091842_027_IAC.png,Full,79,53,102.312744,0.51802,9.530497,0.102875,0.078797,0.329076,202.439248,1.186732,32.54612,0.43,102.312744,10.35878,32.54612,1.186732
POEM2021_T001_L020_2022.11.08_111124_028_IAC.png,Full,70,32,91.885852,0.348258,7.919512,0.092802,0.078797,0.342135,183.899486,0.804863,26.65515,0.414,91.885852,8.484013,26.65515,0.804863
POEM2021_T001_L020_2023.02.15_100224_029_IAC.png,Full,64,36,87.897397,0.409568,6.545197,0.082389,0.078797,0.236003,174.410934,0.53166,22.602649,0.414,87.897397,7.194062,22.602649,0.53166
POEM2021_T001_L020_2023.03.29_101830_030_ABC.png,Full,72,50,104.177424,0.47995,8.678963,0.092168,0.078797,0.343998,206.721255,0.863035,29.923939,0.392,104.177424,9.524311,29.923939,0.863035
POEM2021_T001_L020_2023.04.21_090703_031_IAC.png,Full,124,148,158.702986,0.93256,15.639746,0.108636,0.095555,0.44921,310.273962,1.962495,54.434734,0.465,158.702986,17.326727,54.434734,1.962495
POEM2021_T001_L020_2023.05.25_090058_032_IAC.png,Full,133,163,183.53855,0.888097,19.545243,0.118934,0.097447,0.598269,354.332201,2.80065,68.570231,0.493,183.53855,21.826195,68.570231,2.80065
POEM2021_T001_L020_2023.06.19_092031_033_IAC.png,Full,111,104,148.070263,0.702369,12.047571,0.090312,0.081081,0.365115,291.32636,1.116186,41.74733,0.453,148.070263,13.285862,41.74733,1.116186
POEM2021_T001_L022_2022.09.01_093345_026_IAC.png,Full,100,101,161.400876,0.625771,12.003013,0.081734,0.076444,0.315476,315.467446,1.00789,41.305305,0.462,161.400876,13.146915,41.305305,1.00789
POEM2021_T001_L022_2022.10.12_091853_027_IAC.png,Full,113,106,167.854616,0.631499,17.980369,0.120247,0.081081,0.453257,322.609806,3.050722,62.805834,0.549,167.854616,19.99133,62.805834,3.050722
POEM2021_T001_L022_2022.11.08_111133_028_IAC.png,Full,96,71,136.837648,0.518863,13.96197,0.112874,0.078797,0.410997,268.831695,2.162063,48.151419,0.446,136.837648,15.326685,48.151419,2.162063
POEM2021_T001_L022_2023.02.15_100234_029_IAC.png,Full,88,53,117.648141,0.450496,10.136094,0.094266,0.072772,0.326848,232.622245,1.120806,34.633675,0.479,117.648141,11.024241,34.633675,1.120806
POEM2021_T001_L022_2023.03.29_101840_030_ABC.png,Full,81,53,107.493886,0.493051,9.193983,0.093782,0.072772,0.321213,211.509929,1.013271,31.421657,0.385,107.493886,10.000852,31.421657,1.013271
POEM2021_T001_L022_2023.04.21_090713_031_IAC.png,Full,83,69,121.291925,0.568875,14.395179,0.136482,0.097447,0.547256,231.313997,2.544239,51.609129,0.459,121.291925,16.427696,51.609129,2.544239
POEM2021_T001_L022_2023.05.25_090108_032_IAC.png,Full,121,140,216.975426,0.645234,25.659925,0.133908,0.114666,0.501459,409.992036,3.890776,90.79025,0.486,216.975426,28.897862,90.79025,3.890776
POEM2021_T001_L022_2023.06.19_092042_033_IAC.png,Full,91,79,162.279783,0.486814,13.96544,0.094461,0.085467,0.27826,316.272921,1.359031,47.890397,0.536,162.279783,15.243987,47.890397,1.359031
POEM2021_T001_L024_2022.09.01_093354_026_IAC.png,Full,106,63,157.206887,0.400746,11.384176,0.078953,0.072772,0.277274,309.696899,0.87176,38.905761,0.485,157.206887,12.381162,38.905761,0.87176
POEM2021_T001_L024_2022.10.12_091903_027_IAC.png,Full,68,61,138.047493,0.441877,15.369887,0.123451,0.067568,0.405405,270.099149,2.810061,52.389037,0.495,138.047493,16.675948,52.389037,2.810061
POEM2021_T001_L024_2022.11.08_111142_028_IAC.png,Full,74,80,158.779098,0.503845,16.042184,0.112995,0.072772,0.432432,307.721406,2.490056,55.089519,0.515,158.779098,17.535151,55.089519,2.490056
POEM2021_T001_L024_2023.02.15_100243_029_IAC.png,Full,64,50,133.213051,0.375339,10.817248,0.089567,0.072772,0.353682,260.629174,1.086644,36.934511,0.445,133.213051,11.75662,36.934511,1.086644
POEM2021_T001_L024_2023.03.29_101850_030_ABC.png,Full,77,70,151.009308,0.463548,14.809943,0.110101,0.078797,0.520051,293.971489,2.001744,51.539272,0.46,151.009308,16.405073,51.539272,2.001744
POEM2021_T001_L024_2023.04.21_090721_031_IAC.png,Full,99,97,200.860007,0.482923,20.90431,0.115131,0.095555,0.436217,391.763826,2.729122,72.022798,0.478,200.860007,22.924597,72.022798,2.729122
POEM2021_T001_L024_2023.05.25_090118_032_IAC.png,Full,95,108,206.621353,0.522695,19.107834,0.106387,0.094595,0.460254,394.783724,2.305295,68.461431,0.487,206.621353,21.789816,68.461431,2.305295
